Abomination	Abscheulichkeit
Agenda Deck	Agendadeck
Alert	Alarmiert
Ally	Verbündeter
Aloof	Zurückhaltend
Ancient One	Großer Alter
Arkham	Arkham
Attach To	Anhängen an
Blunder	Patzer
Boon	Segen
Cancel	Aufheben
Card	Karte
Castle	Schloss
Chair	Stuhl
Chess	Schach
Chess Soldier	Schach-Soldat
Clues	Hinweise
Coastal	Küstengebiet
Control	Kontrolle
Corpse	Leichnam
Creature	Kreatur
Defeat	Besiegt
Doom	Verderben
Downtown	Innenstadt
Draw Action	Ziehen (Aktion)
Dreamer	Träumer
Elite	Elite
Encounter Deck	Begegnungsdeck
Encounter Set	Begegnungsset
Enemy Phase	Gegnerphase
Fast	Schnell
Fated	Schicksalhaft
Favor	Gunst
Flaw	Makel
Fortune	Glück
Hazard	Gefahr
Heal	Heilen
Humanoid	Humanoid
Hunter	Jäger
In Player Order	In Spielerreihenfolge
Insight	Einsicht
Instead	Statt/anstatt
Item	Gegenstand
Lead Investigator	Ermittlungsleiter
Lunatic	Wahnsinniger
Madness	Wahnsinn
Massive	Gewaltig
Melee	Nahkampf
Monster	Monster
Mythos Phase	Mythosphase
Northside	Nordviertel
Obstacle	Hindernis
Paradox	Paradox
Parley	Verhandlung
Peril	Wagnis
Poison	Gift
Power	Macht
Put into Play	Ins Spiel bringen
Ready	Spielbereit
Relic	Relikt
Resign	Aufgeben
Restricted	Eingeschränkt
Retaliate	Zurückschlagen
Row	Reihe
Royalty	Adel
Scheme	Komplott
Scholar	Gelehrter
Search	Suchen
Shadow	Schatten
Skill Tests	Fertigkeitsproben
Slope	Abhang
Soldier	Soldat
Spawn	Erscheinen
Spell	Zauber
Spirit	Geist
Surge	Nachrüsten
Table	Tisch
Talent	Talent
Target	Ziel
Task	Aufgabe
Terror	Schrecken
Threat Area	Bedrohungszone
Tome	Buch
Trauma	Trauma
Tulgey Wood	Wirrwald
Weakness	Schwäche
Weapon	Waffe
Weather	Wetter
Wonderland	Wunderland
