any empty location	Beliebiger leerer Ort.
Bystander	Unbeteiligter
Choose one	Wähle eins
Condition	Zustand
Deck Size	Deckgröße
Deep One	Tiefes Wesen
encounter discard pile	Begegnungs-Ablagestapel
Group limit once per round	Nur ein Mal pro Runde für die gesamte Gruppe.
Haunted	Heimgesucht
Hex	Verwünschung
Indoors	Drinnen
Limit once per turn	Nur ein Mal pro Zug.
Max once per location	Max. ein Mal pro Ort
Mystery	Mysterium
Objective	Ermittlungsziel
Predator	Räuber
Serpent	Schlange
Suggested Location Placement	Vorschlag für die Platzierung der Orte
Victory display	Siegpunktestapel
