...Unless all of (location's) clues have been discovered.	„… bis alle Hinweise (auf dem Ort) entdeckt worden sind.“
A, An	Ein, eine
Ability	Fähigkeiten
Abomination	Abscheulichkeit
Act Deck and Agenda Deck	Szenendeck und Agendadeck
Action	Aktion
Activate Action	Aktivieren (Aktion)
Active Player	Aktiver Spieler
Additional Costs	Zusätzliche Kosten
After	Nachdem
Agenda Deck	Agendadeck
Alert	Alarmiert
Ally	Verbündeter
Aloof	Zurückhaltend
Ancient One	Großer Alter
any empty location	Beliebiger leerer Ort.
Arkham	Arkham
As if...	Als ob
Asset Cards	Vorteilskarten
At	Am ...
Attach To	Anhängen an
Attack of Opportunity	Gelegenheitsangriff
Attacker, Attacked	Angreifer, angegriffen
Automatic Failure/Success	Automatischer Erfolg/Misserfolg
Base Value	Grundwert
Bearer	Träger
Blank	Leer
Blunder	Patzer
Bonded	Gebunden
Boon	Segen
Bystander	Unbeteiligter
Campaign Play	Kampagnenspiel
Cancel	Aufheben
Cannot	Kann nicht/Können nicht
Card	Karte
Cardtypes	Kartentypen
Castle	Schloss
Chair	Stuhl
Chaos Tokens	Chaosmarker
Checkpoints	Checkpoints
Chess	Schach
Chess Soldier	Schach-Soldat
Choices, and the Grim Rule	Wahl und die Galgenregel
Choose one	Wähle eins
Clues	Hinweise
Coastal	Küstengebiet
Collection	Sammlung
Concealed Mini-Cards	Getarnte Mini-Karten
Concealed X	Getarnt X
Condition	Zustand
Constant Abilities	Anhaltende Fähigkeit
Control	Kontrolle
Copy	Kopie
Corpse	Leichnam
Costs	Kosten
Creature	Kreatur
Customizable	Individualisierbar
Day and Night	Tag und Nacht
Dealing Damage/Horror	Schaden/Horror zufügen
Deck	Decks
Deck Size	Deckgröße
Deckbuilding	Deckbau
Deep One	Tiefes Wesen
Defeat	Besiegt
Delayed Effects	Aufgeschobene Effekte
Different	Unterschiedlich/Verschieden
Difficulty (level)	Schwierigkeits(grad)
Difficulty (skill tests)	Schwierigkeit (Fertigkeitsprobe)
Direct Damage, Direct Horror	Direkter Schaden/Horror
Discard Piles	Ablagestapel
Doom	Verderben
Doubt and Conviction	Zweifel und Überzeugung
Downtown	Innenstadt
Draw Action	Ziehen (Aktion)
Drawing Cards	Karten ziehen
Dreamer	Träumer
Effects	Effekte
Elimination	Ausscheiden
Elite	Elite
Elusive	Schwer zu fassen
Empty Location	Leerer Ort
Encounter Cards vs Scenario Cards	„Begegnungskarten“ gegen „Szenariokarten“
Encounter Deck	Begegnungsdeck
encounter discard pile	Begegnungs-Ablagestapel
Encounter Set	Begegnungsset
Enemy Cards	Gegnerkarten
Enemy Engagement	Gegner in einen Kampf verwickeln
Enemy Phase	Gegnerphase
Engage Action	In einen Kampf verwickeln (Aktion)
Enters Play	Ins Spiel kommen
Evade, Evade Action	Entkommen, Entkommen (Aktion)
Event Cards	Ereigniskarten
Exceptional	Außergewöhnlich
Exhaust, Exhausted	Erschöpfen, erschöpft
Exile	Exil
Experience	Erfahrungspunkte
Explore	Erkunden
Farthest from all investigators	Am weitesten von allen Ermittlern entfernt
Fast	Schnell
Fated	Schicksalhaft
Favor	Gunst
Fight Action	Kampf (Aktion)
Flavor Text	Stimmungstext
Flaw	Makel
Flood Tokens	Flutmarker
For each or for every	Für jedes
Forced Abilities	Erzwungene Fähigkeiten
Fortune	Glück
Gains	Erhalten
Game	Spiel
Group limit once per round	Nur ein Mal pro Runde für die gesamte Gruppe.
Hand Size	Handkartenlimit
Haunted	Heimgesucht
Hazard	Gefahr
Heal	Heilen
Health and Damage	Ausdauer und Schaden
Hex	Verwünschung
Hidden	Verborgen
Humanoid	Humanoid
Hunter	Jäger
If	Falls
Immune	Immun
In Play and Out of Play	Im Spiel/Nicht im Spiel
In Player Order	In Spielerreihenfolge
Indoors	Drinnen
Insight	Einsicht
Instead	Statt/anstatt
Investigate Action	Ermitteln (Aktion)
Investigation Phase	Ermittlungsphase
Investigator Deck	Ermittlerdeck
Item	Gegenstand
Joe's Hunch Deck	Joes „Spürnase-Deck“
Keys (cardtype)	Schlüssel (Kartentyp)
Keys (token)	Schlüssel (Marker)
Keywords	Schlüsselwörter
