...Unless all of (location's) clues have been discovered.	„… bis alle Hinweise (auf dem Ort) entdeckt worden sind.“
A, An	Ein, eine
Ability	Fähigkeiten
Act Deck and Agenda Deck	Szenendeck und Agendadeck
Action	Aktion
Activate Action	Aktivieren (Aktion)
Active Player	Aktiver Spieler
Additional Costs	Zusätzliche Kosten
After	Nachdem
Agenda Deck	Agendadeck
Alert	Alarmiert
Aloof	Zurückhaltend
As if...	Als ob
Asset Cards	Vorteilskarten
At	Am ...
Attach To	Anhängen an
Attack of Opportunity	Gelegenheitsangriff
Attacker, Attacked	Angreifer, angegriffen
Automatic Failure/Success	Automatischer Erfolg/Misserfolg
Base Value	Grundwert
Bearer	Träger
Blank	Leer
Bonded	Gebunden
Campaign Play	Kampagnenspiel
Cancel	Aufheben
Cannot	Kann nicht/Können nicht
Cardtypes	Kartentypen
Chaos Tokens	Chaosmarker
Checkpoints	Checkpoints
Choices, and the Grim Rule	Wahl und die Galgenregel
Clues	Hinweise
Collection	Sammlung
Concealed Mini-Cards	Getarnte Mini-Karten
Concealed X	Getarnt X
Constant Abilities	Anhaltende Fähigkeit
Control	Kontrolle
Copy	Kopie
Costs	Kosten
Customizable	Individualisierbar
Day and Night	Tag und Nacht
Dealing Damage/Horror	Schaden/Horror zufügen
Deck	Decks
Deckbuilding	Deckbau
Defeat	Besiegt
Delayed Effects	Aufgeschobene Effekte
Different	Unterschiedlich/Verschieden
Difficulty (level)	Schwierigkeits(grad)
Difficulty (skill tests)	Schwierigkeit (Fertigkeitsprobe)
Direct Damage, Direct Horror	Direkter Schaden/Horror
Discard Piles	Ablagestapel
Doom	Verderben
Doubt and Conviction	Zweifel und Überzeugung
Draw Action	Ziehen (Aktion)
Drawing Cards	Karten ziehen
Effects	Effekte
Elimination	Ausscheiden
Elusive	Schwer zu fassen
Empty Location	Leerer Ort
Encounter Cards vs Scenario Cards	„Begegnungskarten“ gegen „Szenariokarten“
Encounter Deck	Begegnungsdeck
Encounter Set	Begegnungsset
Enemy Cards	Gegnerkarten
Enemy Engagement	Gegner in einen Kampf verwickeln
Enemy Phase	Gegnerphase
Engage Action	In einen Kampf verwickeln (Aktion)
Enters Play	Ins Spiel kommen
Evade, Evade Action	Entkommen, Entkommen (Aktion)
Event Cards	Ereigniskarten
Exceptional	Außergewöhnlich
Exhaust, Exhausted	Erschöpfen, erschöpft
Exile	Exil
Experience	Erfahrungspunkte
Explore	Erkunden
Farthest from all investigators	Am weitesten von allen Ermittlern entfernt
Fast	Schnell
Fight Action	Kampf (Aktion)
Flavor Text	Stimmungstext
Flood Tokens	Flutmarker
For each or for every	Für jedes
Forced Abilities	Erzwungene Fähigkeiten
Gains	Erhalten
Game	Spiel
Hand Size	Handkartenlimit
Haunted	Heimgesucht
Heal	Heilen
Health and Damage	Ausdauer und Schaden
Hidden	Verborgen
Hunter	Jäger
If	Falls
Immune	Immun
In Play and Out of Play	Im Spiel/Nicht im Spiel
In Player Order	In Spielerreihenfolge
Instead	Statt/anstatt
Investigate Action	Ermitteln (Aktion)
Investigation Phase	Ermittlungsphase
Investigator Deck	Ermittlerdeck
Joe's Hunch Deck	Joes „Spürnase-Deck“
Keys (cardtype)	Schlüssel (Kartentyp)
Keys (token)	Schlüssel (Marker)
Keywords	Schlüsselwörter
Killed/Insane Investigators	Getötete/Wahnsinnige Ermittler
Lasting Effects	Andauernde Effekte
Lead Investigator	Ermittlungsleiter
Leaves Play	Das Spiel verlassen
Limbo	Limbus
Limits and Maximums	Beschränkung und Maximum
Location Cards	Ortskarten
Lola and Roles	Lola und die „Rollen“
Massive	Gewaltig
May	Dürfen
Modifiers	Modifikatoren
Move	Bewegen
Move Action	Bewegen (Aktion)
Mulligan	Mulligan
Multi-class Cards	Multi-Klassen-Karten
Must	Müssen
Myriad	Unzählig
Mythos Phase	Mythosphase
Nearest	Nächstgelegen
Nested Sequences	Eingebettete Sequenzen
Nested Skill Tests	Eingebettete Fertigkeitsproben
Ownership and Control	Besitz und Kontrolle
Parley	Verhandlung
Partner	Partner
Patrol	Patrouille
Per Investigator ([per_investigator])	Pro Ermittler
Peril	Wagnis
Permanent	Dauerhaft
Play	Spielen
